,Id,Sentiment,Sentence
0,1,negative,jelek film si ernest gak mutu bgt actingnya film sampah
1,2,negative,film king arthur film jelek cerita king arthur
2,3,negative,beexkuanlin film gwa kasar bapak
3,4,negative,ane ga suka fast and furiousmenurutku jelek tu film
4,5,negative,baekhyun36 gua ga tau film lu bilang perang perang perang ama rp yaoi ambigu
5,6,negative,tolong editingnya yg bagus kecewa dgn film indonesia tunggu film
6,7,negative,kecewa dgn salah aktor yg dukung nista agama ah sabar utk tonton film
7,8,negative,kecewa parah film the guys dear radityadika sorry to say this
8,9,negative,yg kecewa abis nonton film
9,10,negative,themummy 2017 film memgecewakan hidup yah sy udh berekspektasi tinggi suka bgt mesir kuno
10,11,negative,film jelek ga isi
11,12,negative,nonton film indonesia bioskop kartini critical eleven gambar kartini ale anya lemah
12,13,negative,nonton film kartini miris jaman jaman bangsa bodoh serakah gila kawin ironis celotehpagi
13,14,negative,btw danur jelek banget gausah tonton hans hansdavidian gue bayang lo meantweets film ntar lol
14,15,negative,film kartini trlalu singkat tonton yg blm baca biografi ttg kartini bingung sndiri emg blm baca bukuny
15,16,negative,habis nonton the guys kecewa nonton film banding film anjlok
16,17,negative,udah nonton film alien kecewa ragu nonton
17,18,negative,satusatunya rugi nonton film action aktor liat jelek
18,19,negative,film bilang baguskelompoknya doang kasih harga dia2 aj waktu nonton jelek
19,20,negative,sudah hidup singkat dihabisken tonton film jelek
20,21,negative,film king arthur jelek bagus cenderung mudah lupa
21,22,negative,jelek ah jelek film dimension rilis akting ga
22,23,negative,duh film ribet banget
23,24,negative,dgn durasi film yg tll alur yg datar stlh criticaleleven selesai sy dgn sih
24,25,negative,adegan potong rusak film
25,26,negative,selesai nonton film goal 3 turun kualitas film drastis parah
26,27,negative,ingat film beda buku bikin kecewa teman ngajak nonton black bulter
27,28,negative,ogah nonton kecewa ama film
28,29,negative,kecewa berat film power rangers bawah ekspektasi banget
29,30,negative,bahas film angkat novel kalo bikin film puas aja gitu
30,31,negative,sebenernya nggak salah akting prilly film danur oke oke aja greget cerita sih kuat
31,32,negative,abis nonton film balap2 mobil itutertidur 15 menit lelah bosan
32,33,negative,the mummy film yg aneh tengah film mummy
33,34,negative,aneh film besut marvel ga postcredit scene nyakaya film yg habis tontonlogan
34,35,negative,film norak
35,36,negative,film critical eleven rusak image ale anya kepala
36,37,negative,factrica suka filmfilm romantis endingnya jadi
37,38,negative,balik novel angkat film sesungguhny campur tangan produser sok tau embel2 jual
38,39,negative,ga respect laku si dian sastro film hambar ga mutu
39,40,negative,sebnarnya film lumyan bgussayangnya aktor aktris rusia film trsa hambar
40,41,negative,kalo nol bikin film gak perempuan seksi bumbu cinta hambar
41,42,negative,1 insidious 2010 creepy bikin tegang film datar pengaruh
42,43,negative,gue nonton film homo aja rumit bener
43,44,negative,sayang banget film lokal bagus budgetnya layar tonton batas banget sayang banget
44,45,negative,film nonton bikin gue derita
45,46,negative,gue nonton the mummy bilang film bagus bioskop sesal
46,47,negative,malam nonton film pagi ane download malem nonton ane smpai begadang hasil ane kecewa httpfbme13szi5lbc
47,48,negative,takut kecewa nonton film danur takut ga sesuai ekspetasi buku mikir serius
48,49,negative,nonton alien covenant cinema21 mall mcimall kaya nonton baja parah yg skip mati mati jelek parah film bagus jelek
49,50,negative,gue yg jarang bgt nntn film indonesiakrn nntn gue slalu kecewa buat film yg mnrt gue ga totalitas
50,51,negative,ragu nonton banyak kecewa waktu nonton film adaptasi novel
51,52,negative,gamau berekspektasi tinggi sih film angkat dr buku kecewa
52,53,negative,tidur kecewa film diharepin hufy
53,54,negative,ane kecewa ma nih film udah nungguin
54,55,negative,ka selliyamanto udah nonton membabibuta kecewa nonton film tu
55,56,negative,jenuh nonton film hambar
56,57,negative,sesal dada nonton film
57,58,negative,netizen batal nonton film kartini garagara laku therealdisastr httpbitly2o2irpy
58,59,negative,film jelek ga isi
59,60,negative,film aneh ajaa
60,61,negative,aneh film baru conan gk spektakuler tp openingnya hancurin gedung sih
61,62,negative,askmenfess film bikin emosional benerbener nyedot emosi
62,63,negative,pandji insyaallahsah film busuk artis dungu rusak bhineka
63,64,negative,kecewa dgn plot cerita film the guys critanya akan lompat ga proses visual yg bs bikin kta erti amira suka sm alf
64,65,negative,jijik banget film pas kelinci gede nightmare parah httpstcoedoifus8p5
65,66,negative,bnyak yg bilang film mummy jelek pdahl ken nonton
66,67,negative,bilang film jelek daur ulang gagal imdb ratattote aja ratingnya anjlok tp turut suka film
67,68,negative,naruto film bodoh ke8 haha fakta quote
68,69,negative,gw ekspektasinya film kuat narasi yg gw jadiin motivasi tp kalimat inspiratifnya hehehe
69,70,negative,film hambar
70,71,negative,film the mummy gue gak sesuai harap gimana gitu film weird film tipe bang tom
71,72,negative,yah kirain film wkwk tonton kecewaa
72,73,negative,bilang jelek bilang aja yg film teman filmya bagus aja ngga bkin tmen lu maju sih
73,74,negative,abis nonton king arthur temen gw sen sblm nonton loh film jelek jgn percaya ama sen yg unsur
74,75,negative,kadang gampang nilai film jelek ketimbang nilai film bagus mbuh
75,76,negative,film dah udh bgni jijk
76,77,negative,film kartini menang pd main film yg kelas yg nama ceritany riset
77,78,negative,yg ajar sejarah gimana konflik yg tampil film kartini kaya penuh ekspektasi aja
78,79,negative,film byk sensor hambar
79,80,negative,moga ga busuk kyk film yg
80,81,negative,flm arah tuju nggak nyesel download sabar uji tonton hangout film
81,82,negative,nonton film hambarr
82,83,negative,erti film the mummy
83,84,negative,kecewa deh pkoknya mslh jam tayang bs aja ngertiin tp klu film cut yg bs dingertiin kaulahtakdirkumembelamu
84,85,negative,novel favorit film hasil bikin kecewa parah tp teaser criticaleleven team ce serius film
85,86,negative,inti kmren kecewa bgt cinema21 krna mmbiarkan anak nnton film dewasa jam tayang malam 2030 wib criticaleleven
86,87,negative,aduh film jijk parah
87,88,negative,kecewa parah nnton film the guys ksini radit bkin film gapernah bener lucu nggak jalan cerita gadapet
88,89,negative,kecewa film danur luar ekspektasi
89,90,negative,ancur bgt film jelekk
90,91,negative,flm jelekk bingittsss
91,92,negative,film hangout aja sih gak kecewaa
92,93,negative,ending film kamar 207 jelekk
93,94,negative,film aja ngehek seriesnya ngehek ga
94,95,negative,suka film pesbukers cewe2 terllu buka tampil klo tonton anak
95,96,negative,buried film budget murah tingkat depresi tinggi
96,97,negative,film mikir ngapain nonton film isi anak sma nyesel
97,98,negative,gila film britney ever after jelek banget parah nyesel nonton gak sampe abis
98,99,negative,film danur nggak novel harap rem cuman bikin boring sorry teh novel bagus
99,100,negative,ga gua nonton film setan indonesia thur kecewa murah ngandelin sex
100,101,positive,keren bang flm lo radityadika sahabat keluarga cinta kentel banget tokoh main pas keren bang
101,102,positive,habis nonton film kong skull island 2017 lumayan greget film 75 deh layak nobar
102,103,positive,bravo filmkartini main bagus sudut pandang cerita tarik film tonton perempuan lelaki
103,104,positive,abis nonton film kartini bagussss bgt dr sampe haruuuu
104,105,positive,romanharusbertahan bangga suka film yg kandung bnyak makna sperti rompisrepost layardramarcti
105,106,positive,film danur dramatis laris
106,107,positive,film kartini telat nontonnya film bagus bangetkalian sukses mendeliver cerita pesan good job guys
107,108,positive,menang film kartini banggafilmindonesia
108,109,positive,pokok nonton film kartini asli keren legacypictures hanungbramantyo nonton bioskop bikin susah loh
109,110,positive,film divergent seru ah udh selesai sih
110,111,positive,get out kalo cepetan nonton mending nonton fast furious 8 httptzucwebcom4oaoo
111,112,positive,suka video youtube httpyoutubejxtmtj0fc2ua trailer film the guys bioskop 13 april 2017
112,113,positive,banyak nangis2nya selera sy kagum film kartini
113,114,positive,thank you mas awisuryadi tim yg uda danur film keren bangetbuat tmn2 yg nonton sila tonton rekomended
114,115,positive,danur film horor indonesia laris 2690000 tonton tayang 30 maret 2017 manojpunjabi danurmovie
115,116,positive,tambah film indonesia favorite criticaleleven baca buku nonton gak kecewa sama2 bagus ikanatassa
116,117,positive,coba nonton film deh asik parah
117,118,positive,nonton get out bener2 gk ekspektasi apa2 tarik karna film jordan peele puas keren parah film sakit jiwa
118,119,positive,kalo nyari film comedy recomended nih lucu parah asli
119,120,positive,cek tread aja film gak kenal asik tonton httpskaskushezsl nemu film bagus
120,121,positive,film bagus banget bioskop judul ziarah film indonesia patut apresiasi
121,122,positive,critical eleven film bagus cerita main gambar bagus puas banget dah nontonnya
122,123,positive,film ziarah layak tonton ken peluk sutradara sukses arah per mbah sri peran umur 95 thn
123,124,positive,nunggu tahun ni film kantinidhijabers
124,125,positive,satu film indonesia yg gue tunggu bgt tonton liat film lgsg gagal moveon pgn nnton lagiii criticaleleven
125,126,positive,tp bangga berkali2 lipat kalo film perdana ledak pasar catat film laris
126,127,positive,cenayangfilm mbah cucu barusan nonton night bus gila keren gin tinggal dikit layar bandung mbah kasi
127,128,positive,film indonesia baik tahun tonton ziarah putar bioskop 18 mei 2017 catat hape tonton pertama
128,129,positive,sampe kagum banget film the guys raditya dkk kocak banget cinema21 sorayafilms 21theguysquiz
129,130,positive,papa mama nonton critical sm film indonesiamereka blg film bagus terimakasi hanungbramantyo
130,131,positive,sumpah film danur bagus banget yg nihh film nyata benerseru bikin ngageting danurmovie
131,132,positive,yg udah nonton the guys pilih nonton cinema21 unlocked film action yg seru cocok nemenin pas long weekend
132,133,positive,nonton film the guys film ngakak abis sedih film paket yg komplit hehehehe sukses radityadika
133,134,positive,sumpah film bagus bngt nonton berkalikali gapernah bosen film the guys inspirasi tnx bang udah film radityadika
134,135,positive,kalo bom nonton kartini banget sih nonton film korea judul obsessed tp 18 huehe
135,136,positive,nang gegara nonton film kartini 1982 epic banget
136,137,positive,film ziarah muat lap hidup cinta sejarah misteri simak
137,138,positive,904 film kartini tonton umur film hibur didik inspirasi fff
138,139,positive,film sejarah jarang negara baca sejarah enggan tonton film hanungbramantyo kartini
139,140,positive,kerja film kartini sungguh2 main produksi selamat mas hanungbramantyo
140,141,positive,lapor mbah cenayangfilm film keren worth to watch syukur2 instrospeksi abis nonton
141,142,positive,thanks for today andibowooo film thebossbaby bagus banget dapet feel lucu ketawa amazing poko
142,143,positive,film ziarah amat keren bangga layak oscar
143,144,positive,barusan bgt kelar nntn filmziarah film lokal yg gue tonton hasil bikin nang bewebw speechless liat akting alitalit
144,145,positive,bahagia temu film keren
145,146,positive,film kartini bagus bangettt wajib tonton
146,147,positive,minggu nonton danur review neng sih film horror indonesia bagus cenayangfilm screensaversid
147,148,positive,filmkartini inspirasi juang junjung nilai benar dominasi kuasa kaku budaya legacypictures
148,149,positive,10 bikin film horror film danur rujuk ringan takut
149,150,positive,moral yg petik film wonder woman salah satu jaga aurat dr cowok hidung belang
150,151,positive,5 film horor indonesia dapat tinggi 10 tahun dapat tiket danurmovie httpbitlybelidanur
151,152,positive,trust me getout tipe film nyaman nikmat gak tau film mana baca sanasini beda
152,153,positive,nonton film getout berbudget minim tp hasil sungguh tk duga bgtu jenius smp mkir brulang yg sbnrnya trjadi
153,154,positive,salah film yg simple hasil luarbiasa ga aneh film getout dapet critical acclaim
154,155,positive,sy bahagia krn film bagus filmziarah tonton mrk mrk tugas guru guru bagus filmziarah
155,156,positive,pokok nonton film kartini asli keren legacypictures hanungbramantyo nonton bioskop bikin susah loh
156,157,positive,film kartini bagus banget belah sampe nang film resah tonton
157,158,positive,film keren falsafah hidup salut
158,159,positive,males2an ajak liat the guys ngerasa duit terbang pasca nonton hangout eh beda tjoy film keren
159,160,positive,minta buka warganet indonesia waktu sempat tonton film ziarah salah yg baik yg
160,161,positive,terngiang2 film critical eleven tuhan betapa ajar dr tonton hemmmm
161,162,positive,habis liat film kartini yg biasapemikiran gera kartini hrs lanjut
162,163,positive,filmkartini hanungbramantyo layak utk apresiasi tinggi gading yg retak tp retak samar film bagus
163,164,positive,film danur kes sosok asih expresi datar penasaran httpfbme1uxomgqjs
164,165,positive,danur seru bangat flm yg blm nonton harap nonton l4like
165,166,positive,filmfilm cocok lho tonton bareng anak yuk nonton film kualitas indonesia btind
166,167,positive,gue udah nonton bang sumpah pecah banget nih film hasil bikin mewek nontonnya httpstcoe9ubwutbqj
167,168,positive,nih film komedi lucu bangt bahasa jawa httpstco46i52na21l httpstcotopkrzd0dz
168,169,positive,sih sempet khawatir liat film adaptasi dr novel takut gak sesuai ekspektasi tp criticaleleven bikin speechless
169,170,positive,salah film yg gak bikin bosen tonton the intern what lovely movie cenayangfilm
170,171,positive,gk nysel bg uda ntn vlog mu the guys dri smpe akhrnya bayar film mu bang kern kli radityadika serius
171,172,positive,abis nonton getoutmovie gokil sih premis keren film
172,173,positive,ernestprakasa slamat koh ernes menang film cek toko belah kuat karna agam seragam
173,174,positive,film keren banget bang keluarga cinta sahabat komedi dpt banget sumpah cinta alf radityadika
174,175,positive,scene rezaadinia gold moment criticaleleven dua emg dah takdir pasang plg cocok film
175,176,positive,film keren main gembira tonton menang kartini
176,177,positive,rt greatbos jarang nonton movie indonesia judul syahadat cinta bagus pirsa recommended jalan cerita seru hoo
177,178,positive,astagah film favorit lanjut
178,179,positive,bun moveon criticaleleven bikin ajar buku yg adaptasi film gak sama kualitas
179,180,positive,nonton critical eleven senang kategori film indonesia wajib tonton
180,181,positive,coba nonton film deh asik parah
181,182,positive,unaazizah yanskii film keren
182,183,positive,suka film bentar tarik dhikefact
183,184,positive,ga sabar nunggu bluray special feature keren lucu kalo bloopernya
184,185,positive,film the guys wajib tonton sayang tua sahabat creatif cinta bebas kereen bgt kak radityadika
185,186,positive,film the guys keren abiss bang radityadika lucu dapet romance dapet sedih dapet
186,187,positive,41 vlog nunggu 22 tanggal rilis nonton kece banget cerita tebak film the guys radityadika
187,188,positive,kmrn nonton film the guys situ bener2 ngerasain bgt sahabat segala2y knapa bang bkn film sllu keren radityadika
188,189,positive,kartini pemamarannya sederhana film nikmat hanungbramantyo
189,190,positive,abis ntn film kartini bnr2 inspirasi buka pikir
190,191,positive,nonton kartini salah film nasional yg recommended tonton nang campur aduk
191,192,positive,film kartini niat banget film keren mana scene2 yg sy titik air filmkartini kartini
192,193,positive,kartini salah film indonesia tema sejarah baik yg garap dgn serius tema msh relevan dgn kondisi skrg
193,194,positive,film kartini tonton generasi muda httpfbme6tqqdgglj
194,195,positive,turut danur bagus bangga film horor hasil karya bangsa
195,196,positive,fargo adaptasi film hasil season 1nya the best httpstcotkeek3evs9
196,197,positive,637000 waw keren flm horor dng tonton gin dlm waktu 4 prillybie danurmovie
197,198,positive,filmziarah film tenang hanyut salut mbah ponco yg bawa karakter mbah sri filmziarah
198,199,positive,film yg tarik kisah cinta setia yg saji bikin kgn nenek recomended movie filmziarah meiberziarah
199,200,positive,nntn filmziarah film bagus 5 menit tonton gak anjak tetep ngliatin layar pdhl film dah selesai msh spicles sm endingnya
